nama,genre,asal
acha septriasa,pop,jakarta
agnes monica,r&b,jakarta
agnes monica,pop,jakarta
ahmad albar,pop,surabaya
ahmad albar,rock,surabaya
andi meriem matalatta,pop,makassar
anneke grönloh,pop,tondano
anneke grönloh,folk,tondano
a. rafiq,dangdut,semarang
ari lasso,pop_rock,madiun
ari lasso,pop,madiun
benyamin sueb,folk,jakarta
benyamin sueb,pop,jakarta
berlian hutauruk,pop,jakarta
berlian hutauruk,religi,jakarta
bing slamet,pop,cilegon
bisma karisma,pop,bandung
broery marantika,blues,ambon
broery marantika,jazz,ambon
bunga citra lestari,country,jakarta
bunga citra lestari,pop,jakarta
chrisye,pop,jakarta
chrisye,rock,jakarta
cinta laura,r&b,"quakenbrück, jerman"
cinta laura,electropop,"quakenbrück, jerman"
cinta laura,pop,"quakenbrück, jerman"
cinta laura,dance,"quakenbrück, jerman"
dewi lestari,pop,bandung
dewi perssik,dangdut,jember
dewiq,pop,ujungpandang
dewiq,rock,ujungpandang
dewi sandra,jazz,brasil
dewi sandra,r&b,brasil
dewi sandra,pop,brasil
dewi sandra,dance,brasil
dira sugandi,jazz,bandung
elvy sukaesih,dangdut,jakarta
gesang,keroncong,solo
gita gutawa,pop,jakarta
gita gutawa,klasik,jakarta
inul daratista,dangdut,pasuruan
iwa-k,rap,bandung
julia perez,dangdut,jakarta
lala karmela,pop,bandung
mbah surip,reggae,mojokerto
mbah surip,pop,mojokerto
morgan oey,pop,singkawang
nicky astria,rock,bandung
nicky astria,pop,bandung
nike ardilla,blues,bandung
nike ardilla,rock,bandung
nike ardilla,metal,bandung
rafael landry tanubrata,pop,garut
rhoma irama,dangdut,tasikmalaya
rini wulandari,r&b,medan
rini wulandari,pop,medan
rossa,pop,sumedang
ruth sahanaya,pop,bandung
sandhy sondoro,blues,jakarta
sandhy sondoro,soul,jakarta
sandhy sondoro,akustik,jakarta
sherina munaf,pop,bandung
sherina munaf,rock,bandung
tantowi yahya,country,palembang
titi dwijayati,pop,jakarta
tonny koeswoyo,rock,tuban
waldjinah,keroncong,solo
yuni shara,balada,malang
yuni shara,pop,malang
yon koeswoyo,rock,tuban
emilia contessa,pop,banyuwangi
dewi yull,keroncong,cirebon
dewi yull,pop,cirebon
audy item,pop_rock,jakarta
audy item,pop,jakarta
theresia ebenna ezeria pardede,pop,jakarta
delon thamrin,blues,jakarta
delon thamrin,jazz,jakarta
euis darliah,dangdut,cimahi
euis darliah,jazz,cimahi
euis darliah,rock,cimahi
alda risma,blues,bogor
alda risma,jazz,bogor
enno lerian,pop,lampung
denada,dangdut,jakarta
denada,rap,jakarta
denada,r&b,jakarta
denada,pop,jakarta
karis alika islamadina,r&b,"sydney, australia"
karis alika islamadina,pop,"sydney, australia"
karis alika islamadina,dance,"sydney, australia"
melly manuhutu,r&b,jakarta
melly manuhutu,pop,jakarta
anna mathovani,balada,bandung
anna mathovani,pop,bandung
ari wibowo,pop,"berlin, jerman"
tina toon,pop,jakarta
novia kolopaking,pop,bandung
alyssa soebandono,pop,jakarta
vincent ryan rompies,pop,jakarta
vincent ryan rompies,rock,jakarta
david bayu danangjaya,pop,solo
andien,jazz,jakarta
chintami atmanagara,pop,"bonn,  jerman"
chintami atmanagara,latin,"bonn,  jerman"
sundari soekotjo,folk,jakarta
sundari soekotjo,keroncong,jakarta
sundari soekotjo,pop,jakarta
cindy claudia harahap,pop,jakarta
atiek cb,pop,kediri
poppy mercury,slow_rock,bandung
harvey malaihollo,pop,jakarta
ardina rasti,pop,jakarta
christine panjaitan,pop,jakarta
dina mariana,jazz,jakarta
dina mariana,pop,jakarta
firman siagian,rock,"balige, toba samosir"
firman siagian,pop,"balige, toba samosir"
desy ratnasari,pop,sukabumi
ressa herlambang,r&b,jakarta
ayushita,r&b,jakarta
ayushita,electropop,jakarta
ayushita,soul,jakarta
ayushita,pop,jakarta
ayushita,hip_hop,jakarta
ayushita,dance,jakarta
donita,pop,bandung
trie utami,pop,bandung
marcell siahaan,r&b,bandung
marcell siahaan,pop,bandung
cindy fatika sari,pop,malang
cindy fatika sari,rock,malang
tasya,pop,jakarta
reza artamevia,r&b,jakarta
reza artamevia,pop,jakarta
inka christie,rock,bali
dewi gita,pop,bandung
dewi gita,folk,bandung
astrid sartiasari,pop,surabaya
andre taulany,pop,jakarta
betharia sonatha,pop,bandung
betharia sonatha,folk,bandung
nadia vega,pop,pekanbaru
conny dio,rock,cimahi
natasha chairani,pop,jakarta
paquita widjaya,pop,jakarta
paquita widjaya,akustik,jakarta
