"nama","genre","asal"
"Acha Septriasa","http://id.dbpedia.org/resource/Pop","Jakarta,"
"Acha Septriasa","http://id.dbpedia.org/resource/Soundtrack","Jakarta,"
"Agnes Monica","http://id.dbpedia.org/resource/R&B","Jakarta, Indonesia"
"Agnes Monica","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Ahmad Albar","http://id.dbpedia.org/resource/Pop","Surabaya,Indonesia"
"Ahmad Albar","http://id.dbpedia.org/resource/Rock","Surabaya,Indonesia"
"Andi Meriem Matalatta","http://id.dbpedia.org/resource/Pop","Makassar, Sulawesi Selatan, Indonesia"
"Anneke Grönloh","http://id.dbpedia.org/resource/Big_band","Tondano, Sulawesi Utara, Indonesia"
"Anneke Grönloh","http://id.dbpedia.org/resource/Pop","Tondano, Sulawesi Utara, Indonesia"
"Anneke Grönloh","http://id.dbpedia.org/resource/Etnik","Tondano, Sulawesi Utara, Indonesia"
"Anneke Grönloh","http://id.dbpedia.org/resource/Folk","Tondano, Sulawesi Utara, Indonesia"
"A. Rafiq","http://id.dbpedia.org/resource/Dangdut","Semarang, Jawa Tengah, Indonesia"
"Ari Lasso","http://id.dbpedia.org/resource/Pop_rock","Madiun, Indonesia"
"Ari Lasso","http://id.dbpedia.org/resource/Pop","Madiun, Indonesia"
"Benyamin Sueb","http://id.dbpedia.org/resource/Gambang_Kromong","Kemayoran, Jakarta, Hindia Belanda"
"Benyamin Sueb","Pop","Kemayoran, Jakarta, Hindia Belanda"
"Berlian Hutauruk","http://id.dbpedia.org/resource/Pop","Indonesia"
"Berlian Hutauruk","http://id.dbpedia.org/resource/Gospel","Indonesia"
"Bing Slamet","Pop, Pop Melayu","Cilegon, Indonesia"
"Bisma Karisma","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Jawa_Barat"
"Bisma Karisma","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Indonesia"
"Bisma Karisma","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Bandung"
"Broery Marantika","http://id.dbpedia.org/resource/Blues","Ambon, Indonesia"
"Broery Marantika","http://id.dbpedia.org/resource/Jazz","Ambon, Indonesia"
"Bunga Citra Lestari","http://id.dbpedia.org/resource/Country","Jakarta, Indonesia"
"Bunga Citra Lestari","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Chrisye","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Chrisye","http://id.dbpedia.org/resource/Progressive_Rock","Jakarta, Indonesia"
"Cinta Laura","http://id.dbpedia.org/resource/R&B","Quakenbrück, Jerman"
"Cinta Laura","http://id.dbpedia.org/resource/Electropop","Quakenbrück, Jerman"
"Cinta Laura","http://id.dbpedia.org/resource/Pop","Quakenbrück, Jerman"
"Cinta Laura","http://id.dbpedia.org/resource/Dance","Quakenbrück, Jerman"
"Dewi Lestari","http://id.dbpedia.org/resource/Pop","Bandung, Jawa Barat, Indonesia"
"Dewi Perssik","http://id.dbpedia.org/resource/Dangdut","Jember, Jawa Timur, Indonesia"
"Dewiq","http://id.dbpedia.org/resource/Pop","Ujungpandang, Sulawesi Selatan, Indonesia"
"Dewiq","http://id.dbpedia.org/resource/Rock","Ujungpandang, Sulawesi Selatan, Indonesia"
"Dewi Sandra","http://id.dbpedia.org/resource/Jazz","Brasil"
"Dewi Sandra","http://id.dbpedia.org/resource/R&B","Brasil"
"Dewi Sandra","http://id.dbpedia.org/resource/Pop","Brasil"
"Dewi Sandra","http://id.dbpedia.org/resource/Dance","Brasil"
"Dira Sugandi","http://id.dbpedia.org/resource/Jazz","Bandung, Jawa Barat, Indonesia"
"Elvy Sukaesih","http://id.dbpedia.org/resource/Dangdut","Jakarta, DKI Jakarta, Indonesia"
"Gesang","http://id.dbpedia.org/resource/Keroncong","Surakarta, Kasunanan Surakarta, Hindia Belanda"
"Gita Gutawa","http://id.dbpedia.org/resource/Pop","Jakarta, DKI Jakarta, Indonesia"
"Gita Gutawa","http://id.dbpedia.org/resource/Klasik","Jakarta, DKI Jakarta, Indonesia"
"Inul Daratista","http://id.dbpedia.org/resource/Dangdut","http://id.dbpedia.org/resource/Jawa_Timur"
"Inul Daratista","http://id.dbpedia.org/resource/Dangdut","http://id.dbpedia.org/resource/Indonesia"
"Inul Daratista","http://id.dbpedia.org/resource/Dangdut","http://id.dbpedia.org/resource/Pasuruan"
"Iwa-K","http://id.dbpedia.org/resource/Rap","Bandung, Jawa Barat, Indonesia"
"Julia Perez","http://id.dbpedia.org/resource/Dangdut","Jakarta, Indonesia"
"Lala Karmela","http://id.dbpedia.org/resource/Pop","Bandung, Jawa Barat, Indonesia"
"Mbah Surip","http://id.dbpedia.org/resource/Reggae","Mojokerto, Jawa Timur, Indonesia"
"Mbah Surip","http://id.dbpedia.org/resource/Pop","Mojokerto, Jawa Timur, Indonesia"
"Morgan Oey","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Kota_Singkawang"
"Morgan Oey","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Kalimantan_Barat"
"Morgan Oey","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Indonesia"
"Nicky Astria","http://id.dbpedia.org/resource/Rock","Bandung,Indonesia"
"Nicky Astria","http://id.dbpedia.org/resource/Musik_Pop","Bandung,Indonesia"
"Nike Ardilla","http://id.dbpedia.org/resource/Blues","Bandung, Indonesia"
"Nike Ardilla","http://id.dbpedia.org/resource/Rock","Bandung, Indonesia"
"Nike Ardilla","http://id.dbpedia.org/resource/Metal","Bandung, Indonesia"
"Rafael Landry Tanubrata","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Jawa_Barat"
"Rafael Landry Tanubrata","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Kota_Garut"
